image_path,player_name,height_cm,kp0,kp1,kp2,kp3,kp4,kp5,kp6,kp7,kp8,kp9,kp10,kp11,kp12,kp13,kp14,kp15,kp16,kp17,kp18,kp19,kp20,kp21,kp22,kp23,kp24,kp25,kp26,kp27,kp28,kp29,kp30,kp31,kp32,kp33,kp34,kp35,kp36,kp37,kp38,kp39,kp40,kp41,kp42,kp43,kp44,kp45,kp46,kp47,kp48,kp49,kp50,label
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado4.jpg,ayrton preciado,179,140.11331,67.190735,1.0,149.37442,58.552204,1.0,136.91982,61.431717,1.0,167.89664,69.43035,1.0,134.36504,70.070244,1.0,191.84781,120.621635,1.0,123.50717,120.3017,1.0,223.78265,184.61073,1.0,115.20411,168.61348,1.0,210.37001,218.20502,1.0,102.74951,200.28809,1.0,176.19972,239.32143,1.0,133.08763,238.3616,1.0,216.1183,253.39903,1.0,87.101425,253.39903,1.0,179.71254,226.5236,1.0,134.04568,253.39903,1.0,lower_cut
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo16.jpg,carlos gruezo,173,127.721054,79.31082,1.0,142.42912,65.55912,1.0,114.61168,65.87893,1.0,159.69513,75.47313,1.0,97.66543,76.752365,1.0,194.54688,151.58716,1.0,59.29653,152.22678,1.0,225.24197,244.01134,1.0,42.030537,252.32632,1.0,125.802605,228.02101,1.0,125.48287,227.06158,1.0,174.4032,252.32632,1.0,95.74697,252.32632,1.0,233.23549,252.32632,1.0,24.125053,252.32632,1.0,225.24197,252.32632,1.0,126.12235,223.86351,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo18.jpg,carlos gruezo,173,120.2168,72.15383,1.0,141.9677,57.12673,1.0,102.3043,59.045086,1.0,180.35164,68.636856,1.0,87.270584,73.113014,1.0,241.76593,154.3233,1.0,35.77213,162.31644,1.0,255.2003,241.28862,1.0,11.142438,241.28862,1.0,224.17331,229.7785,1.0,20.738422,241.28862,1.0,255.2003,241.28862,1.0,1.5464524,241.28862,1.0,255.2003,158.16,1.0,1.5464524,191.09175,1.0,255.2003,241.28862,1.0,1.5464524,241.28862,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo25.jpg,carlos gruezo,173,128.50201,65.8761,1.0,138.72656,51.48489,1.0,117.638435,51.804695,1.0,150.2292,64.596886,1.0,105.49677,69.07415,1.0,175.15154,169.49281,1.0,80.89394,170.13242,1.0,189.21031,245.92613,1.0,69.0718,245.60632,1.0,194.32257,255.20047,1.0,50.859314,255.20047,1.0,205.50569,255.20047,1.0,97.50884,255.20047,1.0,205.50569,255.20047,1.0,50.859314,255.20047,1.0,192.40547,255.20047,1.0,50.859314,255.20047,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Carlos Gruezo/Carlos Gruezo4.jpg,carlos gruezo,173,165.91783,71.98042,1.0,173.90451,57.271645,1.0,156.65327,55.03335,1.0,179.65492,63.666767,1.0,140.36044,59.50994,1.0,191.79468,149.36137,1.0,110.64998,143.286,1.0,203.93445,243.68939,1.0,74.2307,233.77695,1.0,205.53177,255.2006,1.0,72.95283,237.93378,1.0,170.07089,255.2006,1.0,121.51186,255.2006,1.0,211.60165,255.2006,1.0,64.3272,242.0906,1.0,211.60165,255.2006,1.0,71.67496,236.65475,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios13.jpg,diego palacios,177,121.47184,147.11879,1.0,151.53346,125.05476,1.0,97.80631,125.37453,1.0,189.90999,139.44434,1.0,64.54665,139.12457,1.0,203.9814,243.04936,1.0,56.231735,255.20058,1.0,215.81418,255.20058,1.0,15.296767,255.20058,1.0,15.296767,255.20058,1.0,15.296767,255.20058,1.0,188.95058,226.4214,1.0,63.267437,255.20058,1.0,89.4914,223.86325,1.0,58.47037,255.20058,1.0,68.0645,255.20058,1.0,80.856674,235.05515,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Diego Palacios/Diego Palacios27.jpg,diego palacios,177,119.84,129.6057,1.0,162.72,112.9832,1.0,83.36,113.94219,1.0,207.2,136.31862,1.0,48.8,136.31862,1.0,255.2,242.12714,1.0,0.79999995,241.8075,1.0,255.2,253.31535,1.0,0.79999995,253.31535,1.0,123.36,253.31535,1.0,119.52,253.31535,1.0,255.2,253.31535,1.0,0.79999995,253.31535,1.0,0.79999995,253.31535,1.0,0.79999995,243.08612,1.0,93.28,236.69289,1.0,63.84,220.39003,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Djorkaeff Reasco/Djorkaeff Reasco11.jpg,djorkaeff reasco,189,136.14784,27.588522,1.0,143.82368,23.114092,1.0,129.43146,23.114092,1.0,152.45903,27.908125,1.0,120.15648,27.588522,1.0,171.009,62.74477,1.0,96.80909,62.425163,1.0,185.72107,101.41664,1.0,83.69617,102.375435,1.0,166.2116,133.69646,1.0,100.64702,134.65526,1.0,155.01765,137.21208,1.0,113.4401,136.89247,1.0,161.4142,181.6368,1.0,105.44442,180.67796,1.0,166.2116,229.25754,1.0,100.64702,229.5771,1.0,full_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Djorkaeff Reasco/Djorkaeff Reasco13.jpg,djorkaeff reasco,189,130.73734,69.9994,1.0,135.52426,61.363083,1.0,126.26954,61.363083,1.0,141.58768,61.68295,1.0,119.88698,60.72336,1.0,139.35379,95.90834,1.0,111.90878,101.346016,1.0,131.37558,180.03242,1.0,109.99402,194.42628,1.0,132.6521,246.24416,1.0,130.73734,244.00511,1.0,140.6303,242.08594,1.0,114.46181,243.36539,1.0,147.01286,255.20033,1.0,134.88599,255.20033,1.0,122.44001,245.28456,1.0,108.07925,255.20033,1.0,lower_cut
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Djorkaeff Reasco/Djorkaeff Reasco20.jpg,djorkaeff reasco,189,139.60867,76.04058,1.0,148.56178,66.12401,1.0,128.73701,66.12401,1.0,159.43344,74.44113,1.0,117.86536,74.44113,1.0,185.33356,145.77647,1.0,99.319595,140.33835,1.0,209.95465,236.94496,1.0,98.99984,211.67369,1.0,181.4965,222.86981,1.0,97.720825,94.27428,1.0,161.35197,251.65985,1.0,109.551735,251.65985,1.0,212.19293,239.82396,1.0,98.36033,214.2328,1.0,202.28055,206.23557,1.0,97.40107,92.99471,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Djorkaeff Reasco/Djorkaeff Reasco26.jpg,djorkaeff reasco,189,146.93631,141.56496,1.0,154.92036,131.97455,1.0,137.03609,131.97455,1.0,164.50122,140.9256,1.0,127.45523,140.9256,1.0,192.28572,211.25526,1.0,109.57095,203.90262,1.0,200.58914,246.10042,1.0,108.93222,246.10042,1.0,168.9723,144.44208,1.0,111.80648,159.14737,1.0,193.2438,246.10042,1.0,76.99602,246.10042,1.0,202.82466,246.10042,1.0,113.72266,201.66484,1.0,202.50531,246.10042,1.0,137.03609,239.70682,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Djorkaeff Reasco/Djorkaeff Reasco32.jpg,djorkaeff reasco,189,137.39818,49.679325,1.0,136.75926,45.205376,1.0,132.60626,45.84451,1.0,138.03711,49.35976,1.0,119.82781,49.679325,1.0,144.10687,77.48174,1.0,96.18766,77.801315,1.0,154.6491,105.9233,1.0,84.68706,111.35596,1.0,160.71886,131.8083,1.0,101.29905,132.12788,1.0,139.95387,139.7975,1.0,112.480194,140.43665,1.0,147.94041,186.77402,1.0,128.77274,186.77402,1.0,147.62094,213.29816,1.0,146.34311,225.7613,1.0,full_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Djorkaeff Reasco/Djorkaeff Reasco9.jpg,djorkaeff reasco,189,124.311386,50.469822,1.0,131.98305,45.354843,1.0,123.35243,42.797348,1.0,148.92464,50.78951,1.0,122.39347,45.994213,1.0,171.61996,99.38185,1.0,116.639725,93.627495,1.0,195.91357,156.28606,1.0,86.592384,119.8418,1.0,192.71704,220.54303,1.0,53.98782,112.16931,1.0,165.86623,217.98553,1.0,147.64603,212.87056,1.0,152.12115,250.91325,1.0,147.64603,250.91325,1.0,174.17719,240.36359,1.0,172.89859,238.44548,1.0,lower_cut
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Enner Valencia (captain)/Enner Valencia (captain)1.jpg,enner valencia,177,109.07601,33.549927,1.0,120.594215,29.073286,1.0,103.95682,28.114004,1.0,139.47127,38.026573,1.0,97.87777,34.18945,1.0,167.30692,77.99661,1.0,86.99947,82.47326,1.0,191.30316,136.51276,1.0,87.95933,134.27443,1.0,134.0321,165.9307,1.0,71.64188,174.88399,1.0,155.1488,183.83727,1.0,103.63687,178.0816,1.0,157.38846,235.95819,1.0,102.67702,235.95819,1.0,136.27177,202.70312,1.0,124.11367,203.34265,1.0,lower_cut
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_F├⌐lix Torres/F├⌐lix Torres27.jpg,f├⌐lix torres,178,150.59932,119.691055,1.0,159.55597,90.92715,1.0,125.96851,103.071915,1.0,172.99097,91.24676,1.0,93.980446,117.77346,1.0,221.29292,189.04402,1.0,54.315258,198.9516,1.0,245.92375,255.201,1.0,30.32421,255.201,1.0,255.20027,255.201,1.0,28.085045,255.201,1.0,62.312267,178.81685,1.0,72.86833,182.65205,1.0,255.20027,255.201,1.0,81.18523,165.71332,1.0,255.20027,255.201,1.0,28.404926,255.201,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_F├⌐lix Torres/F├⌐lix Torres31.jpg,f├⌐lix torres,178,130.92578,138.93152,1.0,149.78833,111.11728,1.0,102.7918,115.59314,1.0,182.07848,115.27344,1.0,70.18197,124.86455,1.0,232.91144,232.60477,1.0,19.988396,238.03972,1.0,243.7814,254.66429,1.0,11.3563795,254.66429,1.0,11.3563795,254.66429,1.0,11.3563795,254.66429,1.0,11.3563795,254.66429,1.0,11.3563795,254.66429,1.0,243.7814,254.66429,1.0,11.3563795,254.66429,1.0,161.9371,220.7757,1.0,82.01103,239.63823,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_F├⌐lix Torres/F├⌐lix Torres33.jpg,f├⌐lix torres,178,103.238,61.660053,1.0,113.47218,45.99341,1.0,90.445274,51.748505,1.0,133.94054,47.592045,1.0,83.089455,56.544415,1.0,178.71507,105.462715,1.0,68.69763,109.29944,1.0,204.94017,186.03401,1.0,48.229275,186.67348,1.0,150.57109,222.80269,1.0,71.576,220.88434,1.0,168.80072,242.9455,1.0,82.76964,252.53734,1.0,167.52144,252.53734,1.0,69.97691,252.53734,1.0,185.43126,230.47617,1.0,66.45891,252.53734,1.0,lower_cut
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_F├⌐lix Torres/F├⌐lix Torres37.jpg,f├⌐lix torres,178,138.3992,106.73115,1.0,145.11166,89.15044,1.0,125.61357,88.83079,1.0,151.50447,93.30588,1.0,105.15658,92.66658,1.0,170.36325,182.8077,1.0,82.78174,189.52031,1.0,179.3132,252.8109,1.0,72.55323,252.8109,1.0,118.58148,252.8109,1.0,61.68545,252.8109,1.0,190.82025,252.8109,1.0,61.68545,252.8109,1.0,112.82795,252.8109,1.0,112.50831,252.8109,1.0,179.63283,252.8109,1.0,61.68545,252.8109,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_F├⌐lix Torres/F├⌐lix Torres39.jpg,f├⌐lix torres,178,129.8183,68.07702,1.0,142.2964,56.877323,1.0,121.499565,56.877323,1.0,162.13338,66.15707,1.0,112.86088,64.55711,1.0,192.52875,130.15529,1.0,104.542145,122.4755,1.0,213.96548,218.15285,1.0,92.70394,183.91379,1.0,201.48738,251.7519,1.0,80.225845,207.91312,1.0,167.2526,251.7519,1.0,110.30127,251.7519,1.0,234.44238,251.7519,1.0,78.62609,251.7519,1.0,207.56647,251.7519,1.0,109.341415,251.7519,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_F├⌐lix Torres/F├⌐lix Torres44.jpg,f├⌐lix torres,178,109.36044,77.42463,1.0,123.42066,66.87505,1.0,101.05214,66.23568,1.0,147.06738,69.75221,1.0,90.82652,67.19473,1.0,179.6615,123.13945,1.0,66.22115,124.41819,1.0,229.83089,182.92038,1.0,42.574436,192.19121,1.0,186.69162,175.56766,1.0,40.97669,203.38016,1.0,158.57118,224.47932,1.0,82.19867,224.47932,1.0,162.08624,171.41176,1.0,42.893982,224.47932,1.0,14.454012,224.47932,1.0,40.97669,199.54395,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_F├⌐lix Torres/F├⌐lix Torres9.jpg,f├⌐lix torres,178,126.896805,78.29685,1.0,138.73273,66.14406,1.0,114.421104,65.50444,1.0,151.52832,70.3016,1.0,92.34871,69.98179,1.0,189.59518,147.37584,1.0,58.120495,143.53813,1.0,217.4256,229.56706,1.0,27.091187,218.0539,1.0,170.40181,230.5265,1.0,78.27355,217.09447,1.0,157.60622,245.8774,1.0,15.575153,245.8774,1.0,230.54109,245.8774,1.0,15.575153,245.8774,1.0,230.54109,245.8774,1.0,15.575153,245.8774,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Gonzalo Plata/Gonzalo Plata49.jpg,gonzalo plata,182,112.7651,46.399815,1.0,118.19989,37.121,1.0,106.37123,38.400833,1.0,125.87254,39.36071,1.0,97.100105,41.280468,1.0,145.69356,82.23525,1.0,101.57582,100.15297,1.0,174.1463,109.75175,1.0,106.05153,145.58717,1.0,155.60406,87.67456,1.0,125.55285,67.83708,1.0,156.56316,192.30121,1.0,144.0951,192.62117,1.0,117.56051,184.62222,1.0,142.49661,226.85683,1.0,149.52988,227.17679,1.0,133.22551,231.01628,1.0,full_body_bent
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Hern├ín Gal├¡ndez/Hern├ín Gal├¡ndez14.jpg,hern├ín gal├¡ndez,188,133.87318,61.427475,1.0,140.57889,42.88153,1.0,121.10041,47.35814,1.0,149.2005,50.875473,1.0,104.17649,61.427475,1.0,171.2335,146.483,1.0,86.61394,151.91888,1.0,181.45174,224.1841,1.0,70.00933,255.2006,1.0,183.36765,255.2006,1.0,67.45478,255.2006,1.0,161.65395,255.2006,1.0,106.0924,255.2006,1.0,148.24254,235.69539,1.0,103.21854,255.2006,1.0,181.77106,255.2006,1.0,68.412735,255.2006,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Hern├ín Gal├¡ndez/Hern├ín Gal├¡ndez17.jpg,hern├ín gal├¡ndez,188,125.52579,133.28,1.0,137.99323,106.399994,1.0,110.50094,106.72,1.0,158.13292,124.0,1.0,92.91866,123.36,1.0,191.37941,255.2,1.0,62.2296,255.2,1.0,196.8139,255.2,1.0,58.073788,255.2,1.0,92.59898,255.2,1.0,94.19737,255.2,1.0,59.672176,255.2,1.0,76.29542,255.2,1.0,194.57617,255.2,1.0,61.590244,255.2,1.0,87.16446,255.2,1.0,157.17389,241.43999,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Hern├ín Gal├¡ndez/Hern├ín Gal├¡ndez22.jpg,hern├ín gal├¡ndez,188,123.57084,51.256084,1.0,131.24184,43.256298,1.0,119.4157,43.256298,1.0,146.26424,48.37616,1.0,114.62132,48.05617,1.0,167.99876,101.8147,1.0,101.19706,98.93478,1.0,180.78378,170.61281,1.0,97.04192,158.77315,1.0,167.99876,202.61195,1.0,103.75406,188.85234,1.0,155.53337,193.33218,1.0,112.064316,188.53233,1.0,151.05862,213.49164,1.0,113.662445,213.49164,1.0,147.54274,200.372,1.0,113.98207,213.49164,1.0,full_body_bent
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Hern├ín Gal├¡ndez/Hern├ín Gal├¡ndez29.jpg,hern├ín gal├¡ndez,188,144.60838,88.259155,1.0,154.8361,74.18748,1.0,135.01987,73.86767,1.0,166.98155,79.62426,1.0,123.833275,81.86294,1.0,190.9528,175.56754,1.0,105.61511,171.41,1.0,198.94324,242.72784,1.0,100.501236,255.20047,1.0,205.01598,255.20047,1.0,79.406525,255.20047,1.0,211.72792,255.20047,1.0,111.68783,255.20047,1.0,211.72792,255.20047,1.0,90.59312,216.18353,1.0,202.1394,255.20047,1.0,79.406525,255.20047,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Jackson Porozo/Jackson Porozo19.jpg,jackson porozo,183,135.02286,62.88559,1.0,142.3668,53.927567,1.0,127.04029,56.167072,1.0,151.6266,61.285942,1.0,118.73842,64.165306,1.0,171.42336,132.9501,1.0,101.17677,125.91166,1.0,176.85152,189.89752,1.0,93.83281,175.82062,1.0,180.36385,236.92712,1.0,125.12447,201.7349,1.0,156.09683,253.24352,1.0,113.62958,253.24352,1.0,190.26222,253.24352,1.0,82.65721,253.24352,1.0,179.72523,235.6474,1.0,128.31749,198.21568,1.0,malformed
