image_path,player_name,height_cm,kp0,kp1,kp2,kp3,kp4,kp5,kp6,kp7,kp8,kp9,kp10,kp11,kp12,kp13,kp14,kp15,kp16,kp17,kp18,kp19,kp20,kp21,kp22,kp23,kp24,kp25,kp26,kp27,kp28,kp29,kp30,kp31,kp32,kp33,kp34,kp35,kp36,kp37,kp38,kp39,kp40,kp41,kp42,kp43,kp44,kp45,kp46,kp47,kp48,kp49,kp50,label,new_label
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Djorkaeff Reasco/Djorkaeff Reasco9.jpg,djorkaeff reasco,189,124.311386,50.469822,1.0,131.98305,45.354843,1.0,123.35243,42.797348,1.0,148.92464,50.78951,1.0,122.39347,45.994213,1.0,171.61996,99.38185,1.0,116.639725,93.627495,1.0,195.91357,156.28606,1.0,86.592384,119.8418,1.0,192.71704,220.54303,1.0,53.98782,112.16931,1.0,165.86623,217.98553,1.0,147.64603,212.87056,1.0,152.12115,250.91325,1.0,147.64603,250.91325,1.0,174.17719,240.36359,1.0,172.89859,238.44548,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Enner Valencia (captain)/Enner Valencia (captain)1.jpg,enner valencia,177,109.07601,33.549927,1.0,120.594215,29.073286,1.0,103.95682,28.114004,1.0,139.47127,38.026573,1.0,97.87777,34.18945,1.0,167.30692,77.99661,1.0,86.99947,82.47326,1.0,191.30316,136.51276,1.0,87.95933,134.27443,1.0,134.0321,165.9307,1.0,71.64188,174.88399,1.0,155.1488,183.83727,1.0,103.63687,178.0816,1.0,157.38846,235.95819,1.0,102.67702,235.95819,1.0,136.27177,202.70312,1.0,124.11367,203.34265,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_F├⌐lix Torres/F├⌐lix Torres33.jpg,f├⌐lix torres,178,103.238,61.660053,1.0,113.47218,45.99341,1.0,90.445274,51.748505,1.0,133.94054,47.592045,1.0,83.089455,56.544415,1.0,178.71507,105.462715,1.0,68.69763,109.29944,1.0,204.94017,186.03401,1.0,48.229275,186.67348,1.0,150.57109,222.80269,1.0,71.576,220.88434,1.0,168.80072,242.9455,1.0,82.76964,252.53734,1.0,167.52144,252.53734,1.0,69.97691,252.53734,1.0,185.43126,230.47617,1.0,66.45891,252.53734,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Gonzalo Plata/Gonzalo Plata49.jpg,gonzalo plata,182,112.7651,46.399815,1.0,118.19989,37.121,1.0,106.37123,38.400833,1.0,125.87254,39.36071,1.0,97.100105,41.280468,1.0,145.69356,82.23525,1.0,101.57582,100.15297,1.0,174.1463,109.75175,1.0,106.05153,145.58717,1.0,155.60406,87.67456,1.0,125.55285,67.83708,1.0,156.56316,192.30121,1.0,144.0951,192.62117,1.0,117.56051,184.62222,1.0,142.49661,226.85683,1.0,149.52988,227.17679,1.0,133.22551,231.01628,1.0,full_body_bent,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Hern├ín Gal├¡ndez/Hern├ín Gal├¡ndez22.jpg,hern├ín gal├¡ndez,188,123.57084,51.256084,1.0,131.24184,43.256298,1.0,119.4157,43.256298,1.0,146.26424,48.37616,1.0,114.62132,48.05617,1.0,167.99876,101.8147,1.0,101.19706,98.93478,1.0,180.78378,170.61281,1.0,97.04192,158.77315,1.0,167.99876,202.61195,1.0,103.75406,188.85234,1.0,155.53337,193.33218,1.0,112.064316,188.53233,1.0,151.05862,213.49164,1.0,113.662445,213.49164,1.0,147.54274,200.372,1.0,113.98207,213.49164,1.0,full_body_bent,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Jackson Porozo/Jackson Porozo21.jpg,jackson porozo,183,117.29488,40.100735,1.0,121.12554,36.584213,1.0,115.69877,35.944847,1.0,126.871544,39.781055,1.0,112.82577,36.903896,1.0,131.34064,65.03608,1.0,109.952774,61.839245,1.0,139.64041,101.799736,1.0,113.46422,93.48795,1.0,130.70221,126.4154,1.0,101.333786,102.11942,1.0,127.19076,127.05477,1.0,111.22967,131.21066,1.0,129.42531,180.44199,1.0,94.94934,171.49083,1.0,146.6633,225.19772,1.0,102.29144,224.55835,1.0,full_body,full_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Jackson Porozo/Jackson Porozo49.jpg,jackson porozo,183,141.76216,55.529766,1.0,144.63022,52.336514,1.0,140.48747,52.336514,1.0,152.27837,53.29449,1.0,139.53146,53.29449,1.0,162.79457,70.85738,1.0,137.61942,71.176704,1.0,183.1896,87.142975,1.0,136.34473,102.15127,1.0,187.9697,117.79821,1.0,144.31155,120.99146,1.0,170.76138,114.924286,1.0,156.10243,117.47888,1.0,160.88252,143.66357,1.0,164.06926,144.62154,1.0,170.76138,168.25162,1.0,170.76138,167.9323,1.0,full_body,full_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Jeremy Sarmiento/Jeremy Sarmiento45.jpg,jeremy sarmiento,184,100.910515,63.873848,1.0,105.700966,55.879253,1.0,98.03625,56.518818,1.0,117.83678,59.396873,1.0,95.48134,60.036446,1.0,134.44366,102.88746,1.0,90.37152,100.009415,1.0,152.32802,127.51081,1.0,79.832535,144.13956,1.0,144.34393,166.52441,1.0,85.2617,172.60031,1.0,127.41767,184.11253,1.0,101.22988,185.39166,1.0,130.29195,233.99878,1.0,106.33969,235.27792,1.0,128.69513,254.78471,1.0,108.57523,254.78471,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Jos├⌐ Cifuentes/Jos├⌐ Cifuentes34.jpg,jos├⌐ cifuentes,191,103.55153,72.362785,1.0,107.38455,63.08392,1.0,98.760254,64.36376,1.0,124.633125,55.40486,1.0,96.84375,63.723843,1.0,154.65842,80.04185,1.0,103.87094,97.6397,1.0,199.37695,106.27864,1.0,100.99619,152.67297,1.0,176.05945,232.6632,1.0,83.747604,206.74637,1.0,174.78175,203.22679,1.0,139.00693,215.38531,1.0,176.69827,241.6221,1.0,131.66032,253.1407,1.0,176.37886,233.94304,1.0,174.14293,240.0223,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Kevin Rodr├¡guez/Kevin Rodr├¡guez39.jpg,kevin rodr├¡guez,185,133.00279,68.15972,1.0,139.06703,64.64343,1.0,129.17274,61.127148,1.0,141.30122,71.67602,1.0,114.81006,61.44681,1.0,146.72714,103.002945,1.0,87.361374,95.331055,1.0,161.72816,139.12483,1.0,72.67952,138.80518,1.0,154.38724,169.49277,1.0,78.105415,184.51692,1.0,131.08777,188.03322,1.0,91.5106,188.03322,1.0,123.42767,243.33484,1.0,77.78625,243.65453,1.0,123.10849,252.92473,1.0,74.27537,252.92473,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Kevin Rodr├¡guez/Kevin Rodr├¡guez42.jpg,kevin rodr├¡guez,185,126.41135,70.11675,1.0,134.40143,60.846565,1.0,115.86443,64.36284,1.0,146.54637,65.32182,1.0,105.956726,70.43642,1.0,181.38312,102.40257,1.0,93.17259,120.62329,1.0,210.78664,166.65457,1.0,97.00783,186.15395,1.0,159.0109,198.62074,1.0,131.525,207.2516,1.0,191.61043,215.88246,1.0,140.1543,228.0296,1.0,227.0864,244.97168,1.0,162.52652,255.20085,1.0,132.48381,244.65202,1.0,173.07344,255.20085,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Michael Estrada/Michael Estrada40.jpg,michael estrada,187,201.15436,70.10903,1.0,207.22542,61.793037,1.0,195.4028,61.793037,1.0,213.2965,65.951035,1.0,188.05363,68.18996,1.0,227.35582,116.80653,1.0,173.03572,110.08976,1.0,228.63394,166.06279,1.0,166.32558,157.1071,1.0,229.59253,204.44429,1.0,160.89357,196.44817,1.0,210.42073,227.15335,1.0,181.66302,226.83351,1.0,207.54495,253.38069,1.0,183.26068,253.38069,1.0,213.2965,253.38069,1.0,182.30208,253.38069,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Mois├⌐s Caicedo/Mois├⌐s Caicedo44.jpg,mois├⌐s caicedo,180,125.52523,36.232098,1.0,135.75795,30.158857,1.0,115.29252,31.117788,1.0,150.78726,38.789253,1.0,105.69933,40.06783,1.0,180.52611,85.45732,1.0,73.72209,86.73589,1.0,196.51472,141.07542,1.0,61.890507,145.2308,1.0,206.74745,194.45605,1.0,42.704155,193.81676,1.0,161.65953,196.05426,1.0,93.22821,196.3739,1.0,168.37476,251.67238,1.0,84.27458,251.67238,1.0,165.17703,251.67238,1.0,79.47799,251.67238,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Mois├⌐s Ram├¡rez/Mois├⌐s Ram├¡rez11.jpg,mois├⌐s ram├¡rez,180,158.63054,55.17359,1.0,161.1865,48.453724,1.0,152.56015,47.493744,1.0,161.82549,54.853603,1.0,136.26591,48.453724,1.0,163.10347,96.45279,1.0,107.511406,68.93333,1.0,171.41031,131.6521,1.0,69.81105,102.85266,1.0,159.26953,179.01117,1.0,84.82729,103.49265,1.0,125.722595,175.49124,1.0,89.61971,173.89128,1.0,109.74787,210.69057,1.0,78.4374,221.57034,1.0,112.303825,203.3307,1.0,79.07639,241.40996,1.0,full_body_bent,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Mois├⌐s Ram├¡rez/Mois├⌐s Ram├¡rez22.jpg,mois├⌐s ram├¡rez,180,139.19803,39.67648,1.0,143.66225,33.922848,1.0,133.7772,32.32461,1.0,147.8076,38.397896,1.0,124.5299,34.881786,1.0,147.48872,69.72324,1.0,107.31079,66.52678,1.0,146.21323,127.2596,1.0,88.178444,119.58808,1.0,154.82278,184.4763,1.0,85.946335,184.79596,1.0,136.00931,156.66707,1.0,110.81839,154.42953,1.0,133.13947,216.7606,1.0,106.99191,217.39987,1.0,131.86397,254.15921,1.0,102.5277,254.15921,1.0,full_body,full_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Pervis Estupi├▒├ín/Pervis Estupi├▒├ín33.jpg,pervis estupi├▒├ín,175,172.34515,38.98337,1.0,179.06511,33.22628,1.0,168.50517,33.54612,1.0,192.18506,35.145313,1.0,164.66519,35.145313,1.0,198.58504,72.88626,1.0,146.42528,48.25869,1.0,177.14513,111.586716,1.0,115.38541,73.2061,1.0,171.38515,152.84589,1.0,87.22555,101.35188,1.0,161.4652,131.4167,1.0,130.10535,118.94301,1.0,156.98521,179.39247,1.0,120.50539,194.74472,1.0,136.1853,227.6881,1.0,120.18539,225.1294,1.0,full_body,full_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Pervis Estupi├▒├ín/Pervis Estupi├▒├ín38.jpg,pervis estupi├▒├ín,175,150.55397,43.870262,1.0,157.58524,39.393658,1.0,143.52272,38.754143,1.0,165.57529,40.67269,1.0,132.01703,39.393658,1.0,169.09091,63.695217,1.0,101.9744,58.5791,1.0,160.14204,98.86853,1.0,48.600796,79.36333,1.0,181.55542,129.56523,1.0,34.53829,114.53664,1.0,116.67611,119.33299,1.0,75.12779,115.17615,1.0,147.99716,153.22728,1.0,64.90052,170.17441,1.0,165.89488,202.46992,1.0,40.610733,204.38847,1.0,full_body,full_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Piero Hincapi├⌐/Piero Hincapi├⌐4.jpg,piero hincapi├⌐,188,109.28701,48.37412,1.0,113.43893,45.17725,1.0,105.13509,45.17725,1.0,119.18772,48.054432,1.0,98.10878,48.054432,1.0,132.6016,68.51443,1.0,85.97241,71.39161,1.0,161.02625,88.33504,1.0,66.80974,92.490974,1.0,161.665,115.50846,1.0,65.21284,99.204414,1.0,130.04659,126.697525,1.0,101.62193,129.25502,1.0,117.271454,160.58438,1.0,128.76906,171.13406,1.0,112.80016,211.41469,1.0,160.70685,181.04437,1.0,full_body,full_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Piero Hincapi├⌐/Piero Hincapi├⌐47.jpg,piero hincapi├⌐,188,184.10417,41.600937,1.0,192.08755,34.24264,1.0,178.9948,34.882496,1.0,208.05434,40.961082,1.0,174.20476,38.40168,1.0,221.78574,85.430786,1.0,150.25462,77.75256,1.0,231.68513,138.85841,1.0,111.93438,128.9407,1.0,242.22319,194.84546,1.0,137.80054,179.48901,1.0,200.07094,187.48714,1.0,153.7673,190.6864,1.0,221.78574,238.99522,1.0,155.68332,247.95316,1.0,192.40689,222.99895,1.0,153.7673,238.67531,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Robert Arboleda/Robert Arboleda28.jpg,robert arboleda,178,92.33713,49.899418,1.0,99.051384,44.78258,1.0,84.66369,44.78258,1.0,109.28263,55.97566,1.0,73.47325,55.97566,1.0,128.1465,103.94598,1.0,48.214848,99.14894,1.0,147.01036,141.68262,1.0,15.922458,141.36282,1.0,147.01036,160.87076,1.0,44.058403,170.14502,1.0,106.72482,211.07968,1.0,59.72501,210.75987,1.0,104.48673,250.73515,1.0,62.922276,250.73515,1.0,104.16701,250.73515,1.0,60.044735,250.73515,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Robert Arboleda/Robert Arboleda38.jpg,robert arboleda,178,118.44176,24.673841,1.0,121.95617,19.557795,1.0,114.28837,20.1973,1.0,126.42906,21.156557,1.0,108.857,23.714582,1.0,142.08418,48.65531,1.0,104.38411,55.050373,1.0,159.65622,57.928146,1.0,99.591736,91.82196,1.0,164.7681,100.135544,1.0,97.99428,121.878746,1.0,144.32062,116.762695,1.0,126.42906,120.91949,1.0,132.4994,180.71327,1.0,135.37485,180.71327,1.0,159.97572,222.60094,1.0,160.29521,222.60094,1.0,full_body,full_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Sebas M├⌐ndez/Sebas M├⌐ndez23.jpg,sebas m├⌐ndez,179,145.10535,85.314255,1.0,144.46605,81.799225,1.0,145.10535,82.118774,1.0,126.88537,81.799225,1.0,143.50711,82.43832,1.0,114.09942,101.29168,1.0,149.58043,101.61123,1.0,107.067154,126.535995,1.0,159.16988,126.535995,1.0,101.952774,150.82167,1.0,168.12006,143.47206,1.0,118.25486,157.21265,1.0,140.63026,158.49083,1.0,114.09942,196.5171,1.0,140.31062,201.94942,1.0,109.624344,233.90425,1.0,139.35167,246.36665,1.0,full_body,full_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Sebas M├⌐ndez/Sebas M├⌐ndez34.jpg,sebas m├⌐ndez,179,107.64507,30.561123,1.0,115.31652,26.402924,1.0,105.08792,26.722786,1.0,136.09335,30.241262,1.0,102.21113,30.241262,1.0,160.38629,65.74589,1.0,83.35215,55.190456,1.0,168.05772,100.29093,1.0,59.059227,86.85674,1.0,177.96667,127.79902,1.0,72.16462,103.80941,1.0,134.49513,124.92027,1.0,89.10574,125.24013,1.0,150.15767,174.17894,1.0,83.35215,181.53575,1.0,170.61488,227.27596,1.0,73.76283,238.15125,1.0,full_body,full_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Sebas M├⌐ndez/Sebas M├⌐ndez36.jpg,sebas m├⌐ndez,179,78.07691,34.78098,1.0,83.506775,27.742636,1.0,70.41122,30.302032,1.0,91.491875,27.742636,1.0,64.02314,34.14113,1.0,113.21133,45.018574,1.0,64.342545,64.53398,1.0,170.06519,54.296387,1.0,67.53658,97.80615,1.0,175.49506,93.96705,1.0,59.23209,123.72005,1.0,142.59648,101.64524,1.0,108.42027,111.562904,1.0,143.23528,160.19147,1.0,109.69789,144.83508,1.0,124.07105,179.06703,1.0,124.07105,181.94637,1.0,full_body,full_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Sebas M├⌐ndez/Sebas M├⌐ndez37.jpg,sebas m├⌐ndez,179,103.85349,36.43135,1.0,105.448746,32.911396,1.0,100.02492,32.911396,1.0,107.04398,32.5914,1.0,92.36776,33.23139,1.0,107.04398,54.351112,1.0,82.477264,55.631092,1.0,107.68209,82.51073,1.0,59.186737,74.19084,1.0,116.29639,98.51051,1.0,50.89148,110.35036,1.0,91.09156,113.87031,1.0,82.477264,115.15029,1.0,71.62962,166.34961,1.0,114.38209,145.22989,1.0,38.448593,191.62927,1.0,91.41062,192.58925,1.0,full_body,full_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Xavier Arreaga/Xavier Arreaga18.jpg,xavier arreaga,180,137.15463,98.11305,1.0,139.39134,94.91484,1.0,134.91792,95.23466,1.0,142.90616,95.874306,1.0,132.36168,96.19413,1.0,149.61629,113.464516,1.0,129.48592,117.30238,1.0,161.43889,133.93314,1.0,127.24921,140.32957,1.0,156.32642,158.55943,1.0,115.10707,161.75766,1.0,147.06004,159.5189,1.0,132.36168,156.6405,1.0,133.95934,193.10023,1.0,119.58048,175.51001,1.0,122.45626,224.12299,1.0,121.497665,220.60493,1.0,full_body,full_body
